Time (s),Induced Drag in Wind Axes (N),Crosswind Force in Wind Axes (N),Lift in Wind Axes (N),Induced Drag Coefficient in Wind Axes,Crosswind Force Coefficient in Wind Axes,Lift Coefficient in Wind Axes,Rolling Moment in Wind Axes Relative to the CG (N*m),Pitching Moment in Wind Axes Relative to the CG (N*m),Yawing Moment in Wind Axes Relative to the CG (N*m),Rolling Moment Coefficient in Wind Axes Relative to the CG,Pitching Moment Coefficient in Wind Axes Relative to the CG,Yawing Moment Coefficient in Wind Axes Relative to the CG
1.1757199999999999,6.316621734532259,-2.969533424225351e-13,413.2909977536036,0.006170422416158849,-2.90080305208111e-16,0.4037253050936937,-9.091430329641128e-12,4.334960037858586,-1.078432866220441e-12,-8.881007579460204e-16,0.004234626627161197,-1.0534723483076826e-16
1.18864,6.311922376207214,-5.215384964291013e-13,413.3476651980276,0.006163850463188084,-5.093036813796518e-16,0.40365090787436725,-2.017923350844366e-12,4.197307216937127,-2.222766332449617e-12,-1.9705847187959405e-16,0.004098842237157969,-2.1706222718253956e-16
1.20156,6.3073412535405495,3.073473691379061e-13,413.4029558648518,0.006157378547425057,3.0003990925256613e-16,0.4035739291029279,-6.178074645736572e-12,4.066596513885881,2.3558497059082705e-12,-6.031185369381325e-16,0.0039699095275015925,2.2998372621704155e-16
1.21448,6.302872151562408,2.546968912317267e-13,413.45695079158554,0.0061510007512809856,2.4855982029191736e-16,0.4034944631251905,1.2410411737315587e-11,3.942648241957706,1.2386709460273613e-12,1.211137558946228e-15,0.003847647820733112,1.2088244432683837e-16
1.2273999999999998,6.298508760344792,-1.8608935391629842e-13,413.50969790272217,0.006144711064363719,-1.8154540312287816e-16,0.4034125715474058,-6.642628590649726e-12,3.8253163441098788,-1.1344396567165428e-12,-6.480428137912084e-16,0.003731909338974488,-1.106738781466349e-16
1.2403199999999999,6.294245724170342,2.5186963176093534e-13,413.5612430736231,0.006138504407482148,2.456375096285588e-16,0.4033283136091507,1.2363908868973131e-11,3.714445993525976,1.5709608022194577e-12,1.2057983182075912e-15,0.003622537807041065,1.5320898215610966e-16
1.25324,6.290078537644256,-4.985603469724429e-15,413.61165568723544,0.006132376530468001,-4.860606672076351e-18,0.4032417711296732,-1.7771648949179492e-11,3.609826664578635,9.566011361419066e-13,-1.7326086196132055e-15,0.003519322721399636,9.326176646583912e-17
1.26616,6.286003040415348,-6.475311231355921e-13,413.6610106034217,0.0061263235188347255,-6.310822828652218e-16,0.40315303091505256,3.2471005445483835e-11,3.511238210603571,-5.208612502478955e-12,3.16461641939858e-15,0.003422044356572644,-5.076301279091487e-16
1.27908,6.2820150896042115,2.7495379909830846e-14,413.7093732038317,0.006120341474420079,2.6787760235653404e-17,0.40306217018897256,-1.3585431257851349e-11,3.4184649250506896,9.886758913133772e-13,-1.3235797302191635e-15,0.0033304874886819547,9.63231379749159e-17
1.2919999999999998,6.278110858415467,1.080372089062035e-13,413.7567966693734,0.006114426806579893,1.052204430826008e-16,0.4029692539705107,9.51253397855039e-12,3.331287079655041,5.441001908332423e-13,9.264521456957918e-16,0.003244433155071262,5.2991431137864286e-17
1.3049199999999999,6.274287398875426,3.282881437479755e-13,413.8033565283456,0.006108576780141607,3.196177039091494e-16,0.40287436875887656,1.0815688025675251e-12,3.2494657922502523,2.6364556592371673e-12,1.053003417515386e-16,0.003163643936674323,2.566824054756509e-16
1.31784,6.270541446607023,-3.135576024411761e-13,413.8491138854585,0.006102788350872479,-3.051691308955378e-16,0.4027775867115414,-4.84945154973785e-12,3.1727604608340143,-1.4173053465517145e-12,-4.719716260208204e-16,0.003087880966158631,-1.379388786792139e-16
1.33076,6.266870140970344,1.9494997641582062e-13,413.8941333601536,0.006097058867059097,1.8966748242767935e-16,0.4026789831385477,1.576133541340359e-11,3.100927982690451,6.003288325140748e-13,1.5334255805100411e-15,0.0030169031793671522,5.840619239103037e-17
1.34368,6.263270688871021,-1.3817795958184282e-13,413.9384806500009,0.006091385742160837,-1.3438589751091096e-16,0.4025786341381387,-2.249022661095277e-12,3.03371144294542,-1.8899807982576756e-13,-2.1873020107425394e-16,0.0029504563266319443,-1.8381134489238804e-17
1.3565999999999998,6.259740673361776,1.472272948946792e-13,413.9822079679908,0.00608576675507339,1.4313547852266468e-16,0.40247660245171796,-8.519804880849406e-12,2.970914489858517,2.2493051969714005e-12,-8.283018100770566e-16,0.0028883453130074833,2.186791355110698e-16
1.3695199999999998,6.256277265444272,-1.5090355235290056e-14,414.02537750282175,0.006080199283604612,-1.466564910697483e-17,0.4023729602891925,1.5573081254688745e-11,2.912261219989443,-8.546041440097309e-13,1.5134789183859956e-15,0.0028302979283306895,-8.305519854233165e-17
1.38244,6.252878374217172,2.3332399573758737e-13,414.06803784159234,0.006074681423007923,2.2667463808242537e-16,0.40226776642726064,-2.684554431032947e-12,2.857556185506942,9.801748837799675e-13,-2.6080489584592476e-16,0.0027761204418874754,9.522414800755756e-17
1.39536,6.249541658945574,-2.4126079059489003e-13,414.11024380186205,0.006069211025415923,-2.342992062758919e-16,0.4021610854969461,1.1368751921177828e-12,2.806570195291105,-1.5630258175564285e-12,1.104070638627802e-16,0.0027255865633734225,-1.5179246803394785e-16
