Elapsed Time (s),Displacement (mm)
0.169411755,42.03932107
0.169999991,42.03932107
0.170588226,42.03932107
0.171176462,42.03932107
0.171764697,42.69175246
0.172352933,42.69175246
0.172941167,42.69175246
0.173529403,42.69175246
0.174117638,43.10107787
0.174705874,43.10107787
0.175294109,43.10107787
0.175882344,43.10107787
0.176470579,43.7531263
0.177058814,43.7531263
0.17764705,43.7531263
0.178235284,43.7531263
0.17882352,44.16287418
0.179411755,44.16287418
0.179999991,44.16287418
0.180588226,44.16287418
0.181176461,44.81467299
0.181764696,44.81467299
0.182352932,44.81467299
0.182941167,44.81467299
0.183529402,45.22473668
0.184117638,45.22473668
0.184705872,45.46705782
0.185294108,45.46705782
0.185882343,45.87631308
0.186470579,45.87631308
0.187058814,45.87631308
0.18764705,45.87631308
0.188235284,45.87631308
0.18882352,46.52850417
0.189411755,46.52850417
0.18999999,46.52850417
0.190588225,46.52850417
0.19117646,46.93815889
0.191764696,46.93815889
0.192352931,46.93815889
0.192941167,46.93815889
0.193529401,47.58994403
0.194117637,47.58994403
0.194705872,47.58994403
0.195294108,47.58994403
0.195882343,47.99997959
0.196470578,47.99997959
0.197058813,48.24244957
0.197647048,48.24244957
0.198235284,48.65164294
0.198823519,48.65164294
0.199411755,48.65164294
0.199999989,48.65164294
0.200588225,48.65164294
0.20117646,49.30379815
0.201764696,49.30379815
0.202352931,49.30379815
0.202941166,49.30379815
0.203529401,49.71336984
0.204117637,49.71336984
0.204705872,49.95654316
0.205294106,49.95654316
0.205882342,50.36530537
0.206470577,50.36530537
0.207058813,50.36530537
0.207647048,50.36530537
0.208235284,50.36530537
0.208823518,51.01784177
0.209411754,51.01784177
0.209999989,51.01784177
0.210588225,51.42689385
0.21117646,51.42689385
0.211764695,51.42689385
0.21235293,51.42689385
0.212941165,52.07917977
0.213529401,52.07917977
0.214117636,52.07917977
0.214705871,52.07917977
0.215294106,52.07917977
0.215882342,52.48867743
0.216470577,52.48867743
0.217058813,52.48867743
0.217647047,53.1406354
0.218235283,53.1406354
0.218823518,53.1406354
0.219411753,53.1406354
0.219999989,53.1406354
0.220588223,53.55047743
0.221176459,53.79314853
0.221764694,53.79314853
0.22235293,53.79314853
0.222941165,54.20223688
0.2235294,54.20223688
0.224117635,54.20223688
0.224705871,54.20223688
0.225294106,54.85456283
0.225882341,54.85456283
0.226470576,54.85456283
0.227058811,54.85456283
0.227647047,54.85456283
0.228235282,55.26390777
0.228823518,55.26390777
0.229411753,55.26390777
0.229999988,55.50730067
0.230588223,55.91600346
0.231176459,55.91600346
0.231764694,55.91600346
0.23235293,55.91600346
0.232941164,55.91600346
0.233529399,56.56854144
0.234117635,56.56854144
0.23470587,56.56854144
0.235294105,56.56854144
0.23588234,56.97749902
0.236470576,56.97749902
0.237058811,56.97749902
0.237647047,57.22152155
0.238235282,57.62986123
0.238823517,57.62986123
